company_name,contact_person,phone,email,industry,website,city,linkedin
Dubey and Sons,Sara Verma,7960030324,egoel@sethi.info,Telecom,https://dubeyandsons.com,Rajpur Sonarpur,https://linkedin.com/in/sara-verma
"Bahri, Anand and Date",Shaan Yohannan,5702645458,jivingarg@sinha-shenoy.com,Education,https://bahrianandanddate.com,Rewa,https://linkedin.com/in/shaan-yohannan
Bora-Upadhyay,Mohanlal Bandi,06014490333,kairasuri@sarma.net,Marketing,https://bora-upadhyay.com,Jorhat,https://linkedin.com/in/mohanlal-bandi
"Brahmbhatt, Rao and Lala",Adah Krishnamurthy,,sumersodhi@comar-bhatt.biz,Retail,https://brahmbhattraoandlala.com,Gopalpur,
Saxena and Sons,Fateh Gopal,3030786211,inaaya-roy@halder.com,Software,https://saxenaandsons.com,Amritsar,
Goel Group,Reyansh Sarraf,1291518359,daramahika@chada.com,Telecom,https://goelgroup.com,Morena,
"Bhandari, Bora and Johal",Jayesh Buch,,danikrish@apte.info,Finance,https://bhandariboraandjohal.com,,
Chandran and Sons,,+918769846561,,Logistics,https://chandranandsons.com,Bokaro,
"Madan, Butala and Halder",Anya Hayre,07266795999,anika94@viswanathan.com,Real Estate,https://madanbutalaandhalder.com,Katihar,
"Shankar, Devi and Loyal",,3609798309,seshadriprerak@sarraf.org,Finance,https://shankardeviandloyal.com,,
Char Inc,Prisha Krishna,01390993570,misharamaswamy@sekhon.com,Healthcare,https://charinc.com,South Dumdum,https://linkedin.com/in/prisha-krishna
"Upadhyay, Zacharia and Tandon",Ryan Sastry,6688850960,boasearadhya@andra.net,Telecom,https://upadhyayzachariaandtandon.com,Narasaraopet,
Ramanathan-Shukla,Aaryahi Chakraborty,0962039828,xgour@jhaveri.com,Real Estate,https://ramanathan-shukla.com,,
"Thakur, Dhar and Hayre",Nitara Som,9718293698,shalvtailor@madan-trivedi.com,,,Ghaziabad,https://linkedin.com/in/nitara-som
Divan and Sons,Shalv Kala,02853857586,kannannishith@ghose.com,Finance,https://divanandsons.com,Chandigarh,
Mani-Luthra,Aarav Sharaf,+911784301489,vivaankhare@dhawan.com,Real Estate,https://mani-luthra.com,,
Trivedi-Khosla,Saira Suri,+910023061342,savantsuhana@mahajan-batra.org,Software,https://trivedi-khosla.com,Durg,https://linkedin.com/in/saira-suri
"Anand, Devi and Soman",Siya Goyal,+914773136941,,Software,https://ananddeviandsoman.com,Kumbakonam,https://linkedin.com/in/siya-goyal
"Bhardwaj, Kar and Kapoor",,04977801383,pihuramaswamy@gopal-samra.org,Telecom,,Aizawl,
Kalita and Sons,Madhav Bhagat,+919865966049,elasinha@dube.com,Telecom,,Bhimavaram,
Bhandari Ltd,Vidur Ram,+916554619927,taranwable@datta.biz,Retail,https://bhandariltd.com,Gwalior,
Basu-Keer,Tushar Basu,0408869106,miraan22@baral.com,Software,,,
Kuruvilla PLC,Shayak Borra,+912696883719,karaeshani@kannan.com,Manufacturing,https://kuruvillaplc.com,Burhanpur,
Shankar-Chana,Anika Saxena,4615189849,khushiboase@sekhon.com,Education,,Guntur,https://linkedin.com/in/anika-saxena
"Thakkar, Borra and Taneja",Rhea Edwin,00683994429,zainachada@tank.com,Manufacturing,,,
Guha LLC,Aarav Khatri,+910036366690,madhav39@taneja.org,Education,https://guhallc.com,,https://linkedin.com/in/aarav-khatri
"Karan, Kashyap and Contractor",Yuvraj  Choudhury,00480667496,igolla@kunda-datta.org,Finance,https://karankashyapandcontractor.com,,https://linkedin.com/in/yuvraj--choudhury
Chatterjee-Chandra,Umang Jhaveri,+910680814918,randhawagatik@sidhu.com,Manufacturing,https://chatterjee-chandra.com,,
Sachar-Kar,,04224304802,fkala@roy-deshpande.biz,Finance,https://sachar-kar.com,Amritsar,
Sarkar PLC,Nitya Sharaf,+912223386756,wkhalsa@sule-garg.org,Software,https://sarkarplc.com,Dehri,https://linkedin.com/in/nitya-sharaf
"Kapur, Mani and Sahni",Shayak Kanda,05873350193,rania14@kar-gour.com,Manufacturing,,Tiruchirappalli,
Dani-Hayre,Rati Suri,1745337771,tanejasahil@basak.biz,,,Jabalpur,
"Karan, Divan and Chandra",,+915857824159,advikalanka@chana.com,Education,,,https://linkedin.com/in/bhamini-ramesh
Bajwa-Sachdev,Stuvan Sabharwal,,adah24@chand.biz,Finance,https://bajwa-sachdev.com,Maheshtala,https://linkedin.com/in/stuvan-sabharwal
Dalal-Master,Akarsh Sinha,07679884815,,IT Services,https://dalal-master.com,,
"Barad, Ray and Krishna",Ayesha Sani,+916947882494,elakshi86@atwal.org,Marketing,,Kota,
Dey-Dhar,Arnav Dixit,00547961303,chadharania@khanna-sandhu.com,Marketing,,,https://linkedin.com/in/arnav-dixit
"Chadha, Bal and Shroff",Kabir Tara,,buchhunar@sheth-rastogi.biz,Logistics,https://chadhabalandshroff.com,Bhiwandi,
Mangat-Sangha,Gokul Sen,00688735061,xvohra@basak.com,Finance,https://mangat-sangha.com,Sri Ganganagar,
Sarkar and Sons,Kanav Gopal,06296848642,,Logistics,https://sarkarandsons.com,Mangalore,https://linkedin.com/in/kanav-gopal
Biswas LLC,Arhaan Randhawa,01940351079,,Telecom,https://biswasllc.com,,
"Arya, Kari and Ramaswamy",Miraan Sandhu,+919128333573,,Real Estate,https://aryakariandramaswamy.com,,
Goda-Ratta,Keya Bhasin,07222475053,sheredamini@shenoy-virk.info,Retail,https://goda-ratta.com,Kamarhati,
Ramesh-Krishna,Hrishita Ram,06437299254,blall@rattan-kapur.net,Real Estate,https://ramesh-krishna.com,,
Issac LLC,Gatik Sundaram,7072228138,vmalhotra@rama-seshadri.com,Healthcare,https://issacllc.com,Davanagere,https://linkedin.com/in/gatik-sundaram
Sethi and Sons,Madhav Gopal,08482695608,xkumar@chana-karpe.info,Healthcare,https://sethiandsons.com,Visakhapatnam,https://linkedin.com/in/madhav-gopal
Upadhyay-Balasubramanian,,06310864018,sakshamlad@sidhu-krish.info,Marketing,https://upadhyay-balasubramanian.com,,
Bobal and Sons,Zara Mangat,00111570195,gsom@kale-thakur.com,Marketing,,Ballia,
Banerjee PLC,Taimur Sanghvi,+915681927562,neysa93@goyal-samra.net,Real Estate,https://banerjeeplc.com,Adoni,
Grewal and Sons,Aarush Sachdev,+910826546978,balakrishnanivana@rajagopalan-sehgal.net,Education,https://grewalandsons.com,Salem,https://linkedin.com/in/aarush-sachdev
Zacharia PLC,Trisha Ram,5308634157,,Real Estate,,Rajpur Sonarpur,https://linkedin.com/in/trisha-ram
Vaidya Group,Sara Bedi,+917836261785,,Healthcare,,,https://linkedin.com/in/sara-bedi
"Kunda, Sen and Sinha",,+918871348339,aarnarajan@kapur-basak.org,Manufacturing,https://kundasenandsinha.com,Anantapuram,https://linkedin.com/in/anahi-wable
Kalla LLC,Kanav Raja,1298689229,,Education,,,
"Wadhwa, Deshmukh and Dayal",Parinaaz Bhalla,+919405899959,neelofar04@wason.com,Marketing,,,
"Gupta, Shan and Dhar",Zoya Hari,09459270218,sahotaparinaaz@deshpande.com,Manufacturing,https://guptashananddhar.com,Arrah,https://linkedin.com/in/zoya-hari
Bal and Sons,Aarav Gulati,,siya69@bajaj.com,Marketing,https://balandsons.com,Dhanbad,
"Bhargava, Biswas and Reddy",Ishaan Rege,+913957199128,,Education,,Mangalore,
Gokhale-Magar,Sana Bhasin,09385557452,dasshayak@suresh-dhawan.com,Real Estate,https://gokhale-magar.com,,
Kannan-Dhillon,Yasmin Rao,4164651088,jayesh48@kale.org,Software,https://kannan-dhillon.com,Bhopal,
Bhasin LLC,Chirag Lata,+919088259321,hansh29@kakar-warrior.info,Logistics,https://bhasinllc.com,Bally,
Divan-Handa,Adah Varughese,4296366448,divansuhana@gokhale.com,Healthcare,https://divan-handa.com,,https://linkedin.com/in/adah-varughese
"Garde, Manda and Sachdeva",Purab Khalsa,6417319406,kiara25@kibe.com,,https://gardemandaandsachdeva.com,,
"Verma, Sule and Shah",Nirvi Rajan,5137650166,rheatank@borde-bassi.com,Marketing,,,https://linkedin.com/in/nirvi-rajan
"Shan, Sankar and Bera",Umang Sachar,06328510253,alia63@kala.net,E-commerce,https://shansankarandbera.com,,https://linkedin.com/in/umang-sachar
Bedi-Thaman,Veer Sura,,zainbarad@khosla.org,IT Services,,Gandhidham,
"Walla, Jhaveri and Kohli",,00631067072,,Finance,,Chennai,
Sampath Group,Gokul Varma,+914658793126,ishaan02@kale.info,E-commerce,https://sampathgroup.com,Bhimavaram,https://linkedin.com/in/gokul-varma
"Lad, Kalla and Varghese",Myra Shankar,6882727658,tara11@thakur.com,Finance,https://ladkallaandvarghese.com,,
Kumar PLC,Jayant Barman,+917099188866,trishacheema@srinivas.com,Real Estate,https://kumarplc.com,Noida,https://linkedin.com/in/jayant-barman
"Chakraborty, Tripathi and Kothari",Nayantara Apte,,shalv23@bhardwaj.org,,https://chakrabortytripathiandkothari.com,Sambalpur,https://linkedin.com/in/nayantara-apte
Virk-Mander,Nayantara Ahluwalia,07860936018,jissac@jain-deshmukh.info,Finance,,,https://linkedin.com/in/nayantara-ahluwalia
Sidhu Ltd,Piya Yadav,3883041830,tusharhanda@mahajan.biz,Healthcare,https://sidhultd.com,Bikaner,
Hayer Ltd,,7141850416,,IT Services,https://hayerltd.com,Gandhinagar,
Savant-Gole,Tiya Dutta,03899264331,,Software,https://savant-gole.com,Junagadh,
"Sastry, Bora and Arya",Sara Shere,+917688267008,,Real Estate,https://sastryboraandarya.com,,
"Bail, Rama and Gola",Baiju Banerjee,+916091895642,shalvcheema@sarma.com,Manufacturing,,Imphal,
Kakar-Jayaraman,Saksham Bhatt,05473933138,,Retail,https://kakar-jayaraman.com,Gwalior,https://linkedin.com/in/saksham-bhatt
"Bakshi, Wali and Mannan",Sana Sharaf,06725325436,,Retail,,,
"Singhal, Balasubramanian and Gara",Keya Chopra,+911420882778,tararaja@manda.biz,Logistics,,Kadapa,
Mahal PLC,Indrajit Chokshi,02897514214,shanayaganesan@andra-ahluwalia.biz,E-commerce,,Bhavnagar,https://linkedin.com/in/indrajit-chokshi
Chada-Tiwari,Rania Dani,+919486101154,,,https://chada-tiwari.com,,https://linkedin.com/in/rania-dani
Lalla-Thaman,Yasmin Mandal,+911647955494,krishratta@agarwal.com,Manufacturing,,Sambhal,https://linkedin.com/in/yasmin-mandal
Jayaraman-Srinivasan,Zara Dugar,,indrans66@yogi.com,Real Estate,https://jayaraman-srinivasan.com,Shahjahanpur,
Anand Inc,Samar Chandra,,ljha@kapoor.com,Software,https://anandinc.com,Indore,https://linkedin.com/in/samar-chandra
"Tailor, Kala and Sarma",Miraan Trivedi,02209640045,goyalsara@balasubramanian-sinha.com,Retail,https://tailorkalaandsarma.com,Sultan Pur Majra,https://linkedin.com/in/miraan-trivedi
Upadhyay Inc,Vivaan Mangal,0106048922,bbalan@sangha.com,Retail,,Aurangabad,
Chad LLC,Sahil Badami,06048058433,indranil85@garg.info,Telecom,https://chadllc.com,Akola,
Majumdar-Sani,Vivaan Talwar,+917473539471,anya77@koshy.com,,,Mysore,
"Yogi, Sankar and Warrior",Dhanuk Kohli,+917046283839,heerramachandran@ramaswamy.info,Real Estate,https://yogisankarandwarrior.com,,
Kota Ltd,Reyansh Seshadri,0233743991,tiyaagate@barad.com,Telecom,https://kotaltd.com,,https://linkedin.com/in/reyansh-seshadri
Kannan PLC,Lakshit Kannan,06815668855,qupadhyay@badal.biz,Software,https://kannanplc.com,Vasai-Virar,
Hayre-Setty,Anahita Borah,+919859976923,mallickdishani@johal.com,Healthcare,https://hayre-setty.com,,https://linkedin.com/in/anahita-borah
Uppal PLC,Jivika Mammen,03795069225,,Real Estate,https://uppalplc.com,,https://linkedin.com/in/jivika-mammen
"Johal, Apte and Rama",,0141335809,jtalwar@dalia.net,Real Estate,https://johalapteandrama.com,,
Mani Group,,+910334149056,,Real Estate,https://manigroup.com,,
"Suri, Badal and Batra",Drishya Warrior,+918089712260,yuvaan07@bhattacharyya.com,Retail,,,
Kamdar Group,Mamooty Bains,+912266248810,purabtara@contractor-taneja.com,E-commerce,,Jalna,
"Yohannan, Chawla and Iyer",Anahi Wable,7374566766,hunarwadhwa@kothari-bajaj.org,E-commerce,https://yohannanchawlaandiyer.com,Bhopal,
Andra PLC,Alia Bakshi,+912927338290,,Real Estate,https://andraplc.com,Karaikudi,https://linkedin.com/in/alia-bakshi
